city,year,weekofyear,total_cases
iq,2010,33,4
iq,2010,34,5
iq,2010,35,11
iq,2010,36,4
iq,2010,37,6
iq,2010,38,6
iq,2010,39,8
iq,2010,40,81
iq,2010,41,4
iq,2010,42,7
iq,2010,43,9
iq,2010,44,10
iq,2010,45,6
iq,2010,46,12
iq,2010,47,10
iq,2010,48,9
iq,2010,49,9
iq,2010,50,6
iq,2010,51,10
iq,2011,52,8
iq,2011,1,27
iq,2011,2,12
iq,2011,3,18
iq,2011,4,20
iq,2011,5,16
iq,2011,6,17
iq,2011,7,16
iq,2011,8,20
iq,2011,9,12
iq,2011,10,9
iq,2011,11,6
iq,2011,12,6
iq,2011,13,6
iq,2011,14,5
iq,2011,15,5
iq,2011,16,5
iq,2011,17,5
iq,2011,18,5
iq,2011,19,3
iq,2011,20,4
iq,2011,21,4
iq,2011,22,4
iq,2011,23,4
iq,2011,24,4
iq,2011,25,3
iq,2011,26,4
iq,2011,27,4
iq,2011,28,3
iq,2011,29,3
iq,2011,30,3
iq,2011,31,4
iq,2011,32,3
iq,2011,33,3
iq,2011,34,3
iq,2011,35,3
iq,2011,36,2
iq,2011,37,4
iq,2011,38,4
iq,2011,39,8
iq,2011,40,4
iq,2011,41,16
iq,2011,42,12
iq,2011,43,11
iq,2011,44,10
iq,2011,45,16
iq,2011,46,15
iq,2011,47,11
iq,2011,48,5
iq,2011,49,13
iq,2011,50,20
iq,2011,51,18
iq,2012,52,8
iq,2012,1,18
iq,2012,2,19
iq,2012,3,18
iq,2012,4,18
iq,2012,5,18
iq,2012,6,13
iq,2012,7,20
iq,2012,8,19
iq,2012,9,16
iq,2012,10,9
iq,2012,11,5
iq,2012,12,5
iq,2012,13,8
iq,2012,14,4
iq,2012,15,5
iq,2012,16,5
iq,2012,17,5
iq,2012,18,5
iq,2012,19,3
iq,2012,20,5
iq,2012,21,3
iq,2012,22,3
iq,2012,23,3
iq,2012,24,4
iq,2012,25,3
iq,2012,26,4
iq,2012,27,3
iq,2012,28,4
iq,2012,29,4
iq,2012,30,4
iq,2012,31,3
iq,2012,32,3
iq,2012,33,3
iq,2012,34,4
iq,2012,35,3
iq,2012,36,4
iq,2012,37,3
iq,2012,38,4
iq,2012,39,5
iq,2012,40,4
iq,2012,41,11
iq,2012,42,13
iq,2012,43,11
iq,2012,44,6
iq,2012,45,5
iq,2012,46,9
iq,2012,47,17
iq,2012,48,13
iq,2012,49,7
iq,2012,50,9
iq,2012,51,5
iq,2013,1,19
iq,2013,2,17
iq,2013,3,22
iq,2013,4,17
iq,2013,5,25
iq,2013,6,16
iq,2013,7,19
iq,2013,8,17
iq,2013,9,17
iq,2013,10,10
iq,2013,11,6
iq,2013,12,6
iq,2013,13,8
iq,2013,14,5
iq,2013,15,5
iq,2013,16,6
iq,2013,17,5
iq,2013,18,3
iq,2013,19,6
iq,2013,20,5
iq,2013,21,4
iq,2013,22,5
iq,2013,23,3
iq,2013,24,3
iq,2013,25,5
iq,2013,26,3
